name,platform,year_of_release,genre,rating
The Sims: Vacation,PC,2002,Simulation,T
LEGO Batman: The Videogame,Wii,2008,Action,E10+
LEGO Batman: The Videogame,DS,2008,Action,E10+
Borderlands 2,X360,2012,Shooter,M
Kung Fu Panda,X360,2008,Action,E10+
Mass Effect 3,X360,2012,Role-Playing,M
Saints Row 2,X360,2008,Action,M
Heavy Rain,PS3,2010,Adventure,M
Rayman,PS,1995,Platform,
Tom Clancys Splinter Cell,X,2002,Action,T
FIFA 14,PS4,2013,Sports,E
Mike Tysons Punch-Out!!,NES,1987,Fighting,
WWE SmackDown! Shut Your Mouth,PS2,2002,Sports,
NBA 2K13,X360,2012,Sports,E
Killzone 2,PS3,2009,Shooter,M
Far Cry 3,X360,2012,Shooter,M
Epic Mickey,Wii,2010,Platform,E
Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,T
wwe Smackdown vs. Raw 2006,PS2,2005,Fighting,
Star Fox,SNES,1993,Shooter,
The Sims: Livin Large,PC,2000,Misc,T
World Soccer Winning Eleven 6 International,PS2,2002,Sports,E
Devil May Cry,PS2,2001,Action,M
Middle-Earth: Shadow of Mordor,PS4,2014,Action,M
Star Wars: The Old Republic,PC,2011,Role-Playing,T
Titanfall,XOne,2014,Shooter,M
Sonic Heroes,PS2,2003,Platform,E
Hitman 2: Silent Assassin,PS2,2002,Action,M
Battlefield: Bad Company 2,PS3,2010,Shooter,M
Wave Race 64,N64,1996,Racing,
SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,M
WWE SmackDown! vs. RAW 2006,PS2,2005,Fighting,
Street Fighter IV,X360,2009,Fighting,T
Pac-Man Collection,GBA,2001,Puzzle,E
inFAMOUS,PS3,2009,Action,T
Call of Duty: Ghosts,XOne,2013,Shooter,M
FIFA 15,X360,2014,Sports,E
Kirby Super Star Ultra,DS,2008,Platform,E
Super Mario World 2: Yoshis Island,GBA,2002,Platform,
Mass Effect,X360,2007,Role-Playing,M
Sonic Mega Collection Plus,PS2,2004,Misc,E
World Soccer Winning Eleven 7 International,PS2,2003,Sports,E
Sega Superstars Tennis,X360,2008,Sports,E10+
Hot Shots Golf 3,PS2,2001,Sports,E
Cooking Mama: Cook Off,Wii,2007,Simulation,E
WarioWare: Smooth Moves,Wii,2006,Puzzle,E10+
Call of Duty: Finest Hour,PS2,2004,Shooter,T
Syphon Filter,PS,1999,Shooter,T
Imagine: Babyz,DS,2007,Simulation,E
Colin McRae Rally,PS,1998,Racing,
Mortal Kombat X,PS4,2015,Fighting,M
Madden NFL 13,X360,2012,Sports,E
The Elder Scrolls III: Morrowind,X,2002,Role-Playing,T
Assassins Creed IV: Black Flag,PS4,2013,Action,M
Yoshis Story,N64,1997,Platform,
F-Zero,SNES,1990,Racing,
Command & Conquer: Red Alert,PC,1996,Strategy,
Mortal Kombat,PS3,2011,Fighting,M
Madden NFL 10,X360,2009,Sports,E
WWE SmackDown! vs. Raw,PS2,2002,Fighting,
BioShock,X360,2007,Shooter,M
Metroid Prime,GC,2002,Shooter,T
Assassins Creed: Brotherhood,PS3,2010,Action,M
Finding Nemo,GBA,2003,Action,E
Zumba Fitness 2,Wii,2011,Sports,T
Myst,PC,1994,Adventure,
Medal of Honor,PS3,2010,Shooter,M
Need for Speed: Most Wanted,PS3,2012,Racing,
Imagine: Fashion Designer,DS,2007,Simulation,E
inFAMOUS: Second Son,PS4,2014,Action,T
WWE SmackDown! Here Comes the Pain,PS2,2003,Fighting,
Hot Shots Golf,PS,1997,Sports,
A Bugs Life,PS,1998,Platform,
WWF SmackDown! Just Bring It,PS2,2001,Fighting,
Dragon Quest V: Tenkuu no Hanayome,SNES,1992,Role-Playing,
Mortal Kombat Trilogy,PS,1996,Fighting,
Monster Hunter Tri,3DS,2011,Role-Playing,
NBA Street,PS2,2001,Sports,E
Jak II,PS2,2003,Platform,T
Ratchet & Clank: Going Commando,PS2,2003,Platform,
Killzone 3,PS3,2011,Shooter,M
Need for Speed: Hot Pursuit,PS3,2010,Racing,E10+
Skylanders: Spyros Adventure,Wii,2011,Action,E10+
Battlefield 3,PC,2011,Shooter,M
The Sims,PS2,2003,Simulation,T
Star Wars: The Force Unleashed,X360,2008,Action,T
Saints Row: The Third,X360,2011,Action,M
Yoshis Island DS,DS,2006,Platform,E
Missile Command,2600,1980,Shooter,
Mario Paint,SNES,1992,Misc,
Tekken 6,PS3,2009,Fighting,T
Pok\xc3\xa9mon Stadium 2,N64,2000,Strategy,
Sonic and the Secret Rings,Wii,2007,Platform,E
Metroid,NES,1986,Action,
FIFA 16,PS3,2015,Sports,E
L.A. Noire,X360,2011,Adventure,M
The Legend of Zelda: A Link to the Past,GBA,2002,Action,E
